duration,tempo,tempo_std,onset_rate,rmse_mean,rmse_std,dynamic_range,silence_ratio,zcr_mean,spectral_centroid_mean,spectral_bandwidth_mean,chroma_stft_mean,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,mfcc_1_mean,mfcc_delta1_1_mean,mfcc_delta2_1_mean,mfcc_2_mean,mfcc_delta1_2_mean,mfcc_delta2_2_mean,mfcc_3_mean,mfcc_delta1_3_mean,mfcc_delta2_3_mean,mfcc_4_mean,mfcc_delta1_4_mean,mfcc_delta2_4_mean,mfcc_5_mean,mfcc_delta1_5_mean,mfcc_delta2_5_mean,mfcc_6_mean,mfcc_delta1_6_mean,mfcc_delta2_6_mean,mfcc_7_mean,mfcc_delta1_7_mean,mfcc_delta2_7_mean,mfcc_8_mean,mfcc_delta1_8_mean,mfcc_delta2_8_mean,mfcc_9_mean,mfcc_delta1_9_mean,mfcc_delta2_9_mean,mfcc_10_mean,mfcc_delta1_10_mean,mfcc_delta2_10_mean,mfcc_11_mean,mfcc_delta1_11_mean,mfcc_delta2_11_mean,mfcc_12_mean,mfcc_delta1_12_mean,mfcc_delta2_12_mean,mfcc_13_mean,mfcc_delta1_13_mean,mfcc_delta2_13_mean,clip_id,label,source_file,full_duration,clip_count
30.0,191.40625,225.0363250975727,2.8,-24.409273147583008,4.837390899658203,50.15854263305664,0.0007739938080495357,0.023324688890770124,806.547897208249,857.2244543997696,0.28770503617963106,-0.006044940996867132,-0.2168559380282344,-0.06294085661455139,0.0330643817170247,-0.028324450095904816,0.017936676087760978,225.03827309564375,0.018286276710400267,-0.018727196742835475,8.359647989495263,0.00618053356087358,-0.002855454481018045,-18.639950362761667,-0.0018363206205088672,0.002779519326926037,19.2223399674708,-0.0009043517836796353,0.000620642925519254,3.4153380840582064,0.002630874131767959,0.0006185040574483698,-9.90340209814083,0.0010594813757108718,0.002096029180294815,0.03325789599489995,-0.0036158884413588065,0.0012672589377810406,-3.800956303464146,-0.004856268573735609,0.0011313814280827811,-16.68371556346299,-0.0021655766861374587,0.0030902652398517023,-12.925008819516435,0.00025039881539524735,0.00266612405013382,-3.4190752501024093,0.0004900920856151102,-0.00043640964292561034,-6.248113440561113,-0.00018739037578378338,-0.0012089429960694357,-11.251158911406568,-0.0003166658432935077,0.00022742956686199904,c28831a8-1e4c-47b6-a7ec-efd2d9909d4c,0,"Human/SamT/Archive (3)/Sonata No. 14 in C Sharp Minor Moonlight, Op. 27.mp3",281.1454875283447,4
30.0,139.6748310810811,111.59345174137036,1.8666666666666667,-28.455501556396484,8.758405685424805,75.56433868408203,0.01431888544891641,0.024430880236551857,1264.653013280294,2539.5761135416033,0.2742590111692752,-0.33281952319336205,-0.09058869874393458,-0.045477412933800254,-0.22739523528286204,0.10285451748093137,0.05588812983725685,202.5253442588768,0.024965549067412825,-0.008480087262298054,44.01978390730961,0.016667203302833878,-0.00366760905372615,-11.377859993511649,0.006089417689209275,0.000693683703515753,-5.865208724509569,-0.0009051707666460363,0.002262841007802415,5.202709861234559,-0.0010650966203573247,0.001327572041054189,-0.9627898111026462,0.002217932251305676,8.417987321752411e-05,-1.5296442261415752,0.0032536164972140204,9.913698978304613e-05,0.9796874328297932,0.0009535159070529442,0.0007786232272712234,5.141042791869246,-0.0013670059278739766,0.0005903137850478708,-3.3163231241187674,-0.0015085108358350527,-0.0006862562500291902,-2.6636813672537616,-0.0005085741650952746,-0.001712384691517996,-4.197574644763381,2.2413258360566967e-05,-0.0014974830613795316,-1.3854772783069047,-0.0001948875656549798,-0.0006007086030148334,5d55490a-45eb-4d7e-a165-627bcc0d5db1,0,Human/SamT/Archive (3)/Lobo Loco - Saw You Yesterday - Delay (ID 1821).mp3,301.7849659863946,4
30.0,135.99917763157896,178.05526255174357,4.833333333333333,-23.70143699645996,4.7430830001831055,52.49729537963867,0.0011609907120743034,0.016062261150348298,465.0729478417125,956.5378669244669,0.31800769880002683,0.3348138946803388,0.061200989079728374,0.11952902280363216,-0.07167184509679746,-0.016030184637269355,0.012249034481247994,196.88516440765804,0.0037701126707310327,-0.009890388360912125,94.76807010163796,0.00244200338851909,-0.00758597380245017,33.60169080161292,0.0003573169470568879,-0.004687479075192256,11.462545747847997,-0.0020590828753868366,-0.0020585896568320037,8.592423887109963,-0.004238184760505955,-0.00017824355947959443,1.1179848909135477,-0.005785277290230471,0.0009482484877102586,-7.221144461809596,-0.006546839833155241,0.0015347980542678586,-9.006685764475264,-0.0063994858742254185,0.0017271179367192128,-6.9357339399238125,-0.005176416846045579,0.0015697273389601717,-3.788368357662145,-0.00292437192818615,0.0011604023978535713,-1.287359677024699,-0.00012319305977605128,0.0007111443815343337,-1.3984191989780057,0.0025278959321400093,0.00043160675532470774,-3.739121035093696,0.004568178913370909,0.00042375209572842394,8c95bd21-d6bc-4991-b389-27af429d1a98,0,Human/FMA/Lite Saturation/Lite Saturation - Sad.mp3,182.0,4
30.0,84.72079918032787,393.60721739308315,1.3333333333333333,-25.3060245513916,5.871480464935303,53.8724365234375,0.0011609907120743034,0.012957593604876161,606.2842016396655,1910.3747640986903,0.2709603129519037,0.19258125814073668,0.20752073613655708,0.04554426516634369,-0.08992327274220381,0.02246990427420545,-0.03666619262150508,182.065284509329,-0.005374981775508905,-0.012317303371347146,99.91852758186839,-0.004095289965161952,-0.007856377416249193,35.59433820538086,-0.002284901395549629,-0.003574346445859501,10.794055217800379,-0.0004705334304480316,-0.0011039696114930843,8.403380248980248,0.0007599930935707543,-7.474532145713626e-05,7.346112780824351,0.001097102217717915,0.0006450030152721761,1.4417427508154765,0.0007638111981772584,0.001403758251452022,-3.872977800836385,0.0004198254246234091,0.0017482136696750491,-4.928391374844496,0.0006875930748908305,0.0014965283990040679,-3.2777972418449877,0.0016096451640555235,0.0011397027834189138,-1.1967469590806732,0.0025301204398709867,0.001057615108645058,0.3142539894619009,0.002647941662087194,0.0008879388503753192,0.7594251251645828,0.0018399652283459368,0.00013431670007015651,ab3ff747-4852-4646-b4f5-50343dc776a3,0,Human/FMA/Podington Bear/Podington Bear - Surface Tension 3.mp3,138.66666666666666,4
30.0,135.99917763157896,207.26673574618346,1.4333333333333333,-23.573257446289062,4.262389183044434,49.753089904785156,0.0007739938080495357,0.02296905989986455,680.5516227704437,754.0920105997773,0.2924982129212385,-0.12965950720164596,0.3408930960225604,-0.061128558232053785,-0.21558848993576016,0.057261572974976346,-0.03664783863312085,242.87541778982222,-0.0003629529872913463,-0.018351967593906112,26.682047437128606,0.008007033221012547,-0.003690192905814078,-22.28084018911251,0.010914840285723067,0.003227250132102482,12.958532272545908,0.00767894869315111,0.0018909929813836887,9.936829090169121,0.003084137874513146,2.9483333246753847e-05,-5.664164397194563,-2.6148467989267396e-05,0.0006008585868256093,-2.0584846055532773,-0.0021718015656394794,0.0009302894073194821,3.5735680025392456,-0.004499908021954122,-0.001065920898272365,1.9938407246852174,-0.006130784342555367,-0.0034376323829845463,-0.3168082443961156,-0.005581302915861494,-0.0033047449648480973,0.6649465078757443,-0.0038711701748056957,-0.0017193351314862793,3.1906981026127044,-0.002440799504862145,-0.0011572262663445644,2.2260885551652656,-0.0003116756730859015,-0.0005266591919361632,a66a0c4c-2e31-4e28-845f-df48768629d6,0,Human/SamT/Archive (3)/Siddhartha - Surrender.mp3,154.3935625,4
30.0,126.04801829268293,313.8608343348338,1.3666666666666667,-27.200345993041992,7.17870569229126,55.61355972290039,0.0007739938080495357,0.01985853449109907,536.5589169339167,582.8803133547497,0.23412904171841256,0.11725777218821569,0.3797256671185371,-0.1286737972929307,0.13798650451583688,0.005529146312426979,0.03783359427844601,176.99429165821118,0.01224108196157092,-0.011202426561133077,79.59372539319216,0.009014502110415313,-0.007017516124145826,9.376535562019008,0.0046502367612818365,-0.002357628766410967,-10.181249954505704,-0.000208993387669771,0.0008186431308527467,-6.73578117338114,-0.004543892995198155,0.0018158733514642496,-5.404288077810176,-0.006777275307791953,0.0013993212188699977,-9.195420924367157,-0.006074638222484359,0.0008512704421893525,-12.769081844217315,-0.0033003289927612815,0.0008268829881178855,-12.442584213309864,-0.00011956836742585193,0.0010825274383527272,-8.612465361546594,0.0023695722144839435,0.0011095201561874138,-5.796894573224594,0.0038405343435782427,0.0007837811274535725,-7.089706702766369,0.004226297210252824,0.00038796875262580167,-9.581055700284688,0.0034000560495441043,0.00023421466614565554,44168328-a83d-4693-9596-b4626f028b70,0,"Human/museopen/Scenes from Childhood, Op. 15 - VII. Dreaming _ Reverie (Träumerei).mp3",203.10643990929705,4
30.0,99.38401442307692,89.32429093984113,2.2333333333333334,-29.30002212524414,9.55008316040039,80.0,0.008126934984520124,0.02208565632256192,880.6987591183719,1010.1559220458896,0.28273494593987064,0.06920109133458405,0.10232145789915108,-0.08326149268306654,-0.07773537150672069,0.03213444302828408,-0.0010386814873803761,172.07614982529623,0.03812752126923665,0.008705378464219909,4.755325224192444,0.013902646844478844,0.0016856104648005517,-7.268753723330857,0.0016393980146732028,-0.0007828622687890201,17.488567048488825,0.001928775676089763,0.0002587430563202669,-1.5685383175477436,0.002139155881188631,0.00038137356629109654,-10.59924779136377,-0.0009753329567460549,-0.0003761371676954323,-6.861268219749951,-0.002780865645038389,-0.00028642686823369685,-11.110447841785303,-0.0024672389016831505,-6.345784665988565e-05,-13.370891594053669,-0.0022681075272287694,-0.000608099635963298,-8.36749272217791,-0.002656005406702779,-0.001408050185102155,-3.6824258985338956,-0.0032647550203965814,-0.0021442788924661738,-5.665907538184783,-0.003919865931001796,-0.0025108554673738868,-9.610529365842034,-0.0042996657598790115,-0.0016513488946832999,ced5f9ac-17ca-4df6-badf-16c1e87b29f6,0,Human/FMA/Circus Marcus/Circus Marcus - Búsqueda exploratoria #004 - Gluten.mp3.mp3,264.5224716553288,4
30.0,126.04801829268293,232.99372641896366,5.633333333333334,-25.279285430908203,5.012197494506836,51.842044830322266,0.0007739938080495357,0.03218045544698142,856.5815090218836,699.4454674962003,0.3032744726996479,-0.057054403939335877,0.21513710689964616,0.018880196995918214,-0.10476933575181406,-0.021756471321337213,0.02737062193728797,204.36773503207772,0.026345323762848028,-0.009157578217350396,19.9565087973037,0.01048244879889827,-0.004352412616471046,-26.013204772123572,-0.001376521115956687,3.8473219243792706e-05,2.2550869568964385,-0.0034648503311842343,0.0007285821279475079,1.2803172710839281,0.0009365688157128181,-0.0006530133673576155,-9.848441828866155,0.005224192337012968,0.0001774162150230994,-9.657766525512608,0.0056550035868466525,0.003114848999055159,-10.496507814013443,0.0034120735192985675,0.00394100375426371,-10.085970254953379,0.0015873552307813774,0.0011238457969976253,-5.929581422011594,0.0011742807071159658,-0.002102496877783885,-3.5811644697807647,0.0003094925314789913,-0.002862974790011257,-1.4580026282016845,-0.0034404002185332728,-0.0022883669591265213,1.7176497842588665,-0.009544977384998288,-0.0023804647778257718,cf75fa43-e258-4a85-aa31-0b3e030b65bc,0,"Human/SamT/Archive (3)/Sonata No. 13 In B Flat Major, K.333 - I. Allegro.mp3",332.9866666666667,4
30.0,198.76802884615384,185.6516457771675,0.9,-32.36225509643555,9.661238670349121,74.21240234375,0.008513931888544891,0.02127821600474071,654.6318949957722,977.5937423787459,0.21886612405062927,0.23810203634307678,0.2524726153434361,0.05167719042343553,-0.29840038031672417,0.02205667685620876,0.006938250954896179,164.97087640481408,-0.009605616990735585,-0.008643999544343693,52.70933970561789,-0.007226944960436651,-0.004594784818849832,-0.13307390511969291,-0.0035725814109062526,-0.0013545210006914697,-3.111997861362934,2.1886649164834233e-05,-0.0003375048189663435,-3.223286832284398,0.0021753958435469854,-0.0007115196795325466,-6.4591550342647945,0.002861928499666665,-0.0010672031348783419,-7.238118236081843,0.0031421525855385877,-0.0007590957258590697,-8.809941714837825,0.0035416625988594387,0.00022251925808859484,-11.298143487274132,0.003465710789557593,0.0015985209122998643,-11.567286553121363,0.0023907559944481294,0.0026806108130314247,-10.152421326584388,0.0008543224857728676,0.0026990150623530636,-9.239373544031155,-0.0002308885481736743,0.001749175785413775,-8.292629382475104,-0.0006985606287230939,0.0009006299775673524,f56fdd91-7f39-4792-9b2a-aac6d6cc236e,0,Human/FMA/Circus Marcus/Circus Marcus - Búsqueda exploratoria #011 - Idée Fixe.mp3.mp3,173.46666666666667,4
30.0,161.4990234375,351.1685112372773,1.5333333333333334,-28.557373046875,8.667866706848145,65.27964782714844,0.005030959752321981,0.01048954352505805,576.5463394341647,1777.0630824894063,0.23090697658795578,-0.032149806924951466,-0.30359374310028847,-0.04866227848539307,0.04212117897631011,0.007839141279631366,0.030271262788933148,132.72429315403323,0.00557509516981509,-0.004801850648851672,95.07353313543993,0.005083972863823318,-0.004488748646312597,55.192160337816325,0.004261567304407144,-0.003976192849013916,25.279405420489578,0.0031361846945916357,-0.0032860072082225166,8.490118060001484,0.001792142242537144,-0.0024600165486558835,1.278568532551227,0.00037340916005520954,-0.0015627441803986678,-1.191923372471739,-0.0009425998957038789,-0.0006769458945212404,-2.5200077301754167,-0.001992894486329334,0.0001083896496026755,-4.0955812289830265,-0.0026777185553430614,0.0007148919874111341,-5.807995002370927,-0.0029877494840542134,0.0010916528350663347,-7.192886209052166,-0.002997166274058096,0.0012267871673201252,-7.767152068692463,-0.002826636499278251,0.0011499528043021699,-7.9202845631761525,-0.00259452805350223,0.0009249294606135003,d90c74ab-3aae-4aa7-baad-978aa69df41b,0,Human/FMA/Chad Crouch/Chad Crouch - Pacific Wrens (Instrumental).mp3,211.92630385487527,4
